"alue";"etuus";"vuosi";"kuukausi";"paiva";"variable";"val";"type"
"Kanta-Häme";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"5846";"Saajat"
"Kanta-Häme";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"3835";"Saajakotitaloudet"
"Keski-Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"73";"Saajat"
"Keski-Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"61";"Saajakotitaloudet"
"Keski-Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"1246";"Saajat"
"Keski-Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"835";"Saajakotitaloudet"
"Keski-Suomi";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"575";"Saajat"
"Keski-Suomi";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"438";"Saajakotitaloudet"
"Keski-Suomi";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"9687";"Saajat"
"Keski-Suomi";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"6772";"Saajakotitaloudet"
"Kymenlaakso";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"283";"Saajat"
"Kymenlaakso";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"230";"Saajakotitaloudet"
"Kymenlaakso";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"5540";"Saajat"
"Kymenlaakso";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"3832";"Saajakotitaloudet"
"Lappi";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"302";"Saajat"
"Lappi";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"217";"Saajakotitaloudet"
"Lappi";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"4272";"Saajat"
"Lappi";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"2826";"Saajakotitaloudet"
"Pirkanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"901";"Saajat"
"Pirkanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"710";"Saajakotitaloudet"
"Pirkanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"18486";"Saajat"
"Pirkanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"12686";"Saajakotitaloudet"
"Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"223";"Saajat"
"Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"160";"Saajakotitaloudet"
"Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"4022";"Saajat"
"Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"2354";"Saajakotitaloudet"
"Pohjois-Karjala";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"298";"Saajat"
"Pohjois-Karjala";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"242";"Saajakotitaloudet"
"Pohjois-Karjala";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"5202";"Saajat"
"Pohjois-Karjala";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"3636";"Saajakotitaloudet"
"Pohjois-Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"643";"Saajat"
"Pohjois-Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"495";"Saajakotitaloudet"
"Pohjois-Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"9813";"Saajat"
"Pohjois-Pohjanmaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"6722";"Saajakotitaloudet"
"Pohjois-Savo";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"453";"Saajat"
"Pohjois-Savo";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"360";"Saajakotitaloudet"
"Pohjois-Savo";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"8466";"Saajat"
"Pohjois-Savo";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"5835";"Saajakotitaloudet"
"Päijät-Häme";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"375";"Saajat"
"Päijät-Häme";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"316";"Saajakotitaloudet"
"Päijät-Häme";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"8555";"Saajat"
"Päijät-Häme";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"5817";"Saajakotitaloudet"
"Satakunta";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"337";"Saajat"
"Satakunta";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"249";"Saajakotitaloudet"
"Satakunta";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"4679";"Saajat"
"Satakunta";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"3335";"Saajakotitaloudet"
"Uusimaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"2995";"Saajat"
"Uusimaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"2284";"Saajakotitaloudet"
"Uusimaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"72017";"Saajat"
"Uusimaa";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"45171";"Saajakotitaloudet"
"Varsinais-Suomi";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"667";"Saajat"
"Varsinais-Suomi";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"uudet saajat";"539";"Saajakotitaloudet"
"Varsinais-Suomi";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"13721";"Saajat"
"Varsinais-Suomi";"Perustoimeentulotuki";"2019";"1";"2019-01-01";"aiemmin tukea saaneet";"8858";"Saajakotitaloudet"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"220";"Saajat"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"164";"Saajakotitaloudet"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"4035";"Saajat"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"2829";"Saajakotitaloudet"
"Etelä-Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"339";"Saajat"
"Etelä-Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"260";"Saajakotitaloudet"
"Etelä-Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"4365";"Saajat"
"Etelä-Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"2944";"Saajakotitaloudet"
"Etelä-Savo";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"249";"Saajat"
"Etelä-Savo";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"197";"Saajakotitaloudet"
"Etelä-Savo";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"4205";"Saajat"
"Etelä-Savo";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"2938";"Saajakotitaloudet"
"Kainuu";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"145";"Saajat"
"Kainuu";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"106";"Saajakotitaloudet"
"Kainuu";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"1799";"Saajat"
"Kainuu";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"1295";"Saajakotitaloudet"
"Kanta-Häme";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"342";"Saajat"
"Kanta-Häme";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"261";"Saajakotitaloudet"
"Kanta-Häme";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"6293";"Saajat"
"Kanta-Häme";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"4161";"Saajakotitaloudet"
"Keski-Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"92";"Saajat"
"Keski-Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"71";"Saajakotitaloudet"
"Keski-Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"1391";"Saajat"
"Keski-Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"938";"Saajakotitaloudet"
"Keski-Suomi";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"542";"Saajat"
"Keski-Suomi";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"422";"Saajakotitaloudet"
"Keski-Suomi";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"10546";"Saajat"
"Keski-Suomi";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"7295";"Saajakotitaloudet"
"Kymenlaakso";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"325";"Saajat"
"Kymenlaakso";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"248";"Saajakotitaloudet"
"Kymenlaakso";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"6104";"Saajat"
"Kymenlaakso";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"4184";"Saajakotitaloudet"
"Lappi";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"382";"Saajat"
"Lappi";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"262";"Saajakotitaloudet"
"Lappi";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"4614";"Saajat"
"Lappi";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"3013";"Saajakotitaloudet"
"Pirkanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"1054";"Saajat"
"Pirkanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"797";"Saajakotitaloudet"
"Pirkanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"20425";"Saajat"
"Pirkanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"13899";"Saajakotitaloudet"
"Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"195";"Saajat"
"Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"154";"Saajakotitaloudet"
"Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"4337";"Saajat"
"Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"2543";"Saajakotitaloudet"
"Pohjois-Karjala";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"311";"Saajat"
"Pohjois-Karjala";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"236";"Saajakotitaloudet"
"Pohjois-Karjala";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"5823";"Saajat"
"Pohjois-Karjala";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"4068";"Saajakotitaloudet"
"Pohjois-Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"769";"Saajat"
"Pohjois-Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"538";"Saajakotitaloudet"
"Pohjois-Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"11046";"Saajat"
"Pohjois-Pohjanmaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"7501";"Saajakotitaloudet"
"Pohjois-Savo";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"548";"Saajat"
"Pohjois-Savo";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"416";"Saajakotitaloudet"
"Pohjois-Savo";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"9269";"Saajat"
"Pohjois-Savo";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"6309";"Saajakotitaloudet"
"Päijät-Häme";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"492";"Saajat"
"Päijät-Häme";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"364";"Saajakotitaloudet"
"Päijät-Häme";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"9189";"Saajat"
"Päijät-Häme";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"6213";"Saajakotitaloudet"
"Satakunta";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"358";"Saajat"
"Satakunta";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"278";"Saajakotitaloudet"
"Satakunta";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"5137";"Saajat"
"Satakunta";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"3605";"Saajakotitaloudet"
"Uusimaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"3001";"Saajat"
"Uusimaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"2225";"Saajakotitaloudet"
"Uusimaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"78613";"Saajat"
"Uusimaa";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"48440";"Saajakotitaloudet"
"Varsinais-Suomi";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"864";"Saajat"
"Varsinais-Suomi";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"uudet saajat";"636";"Saajakotitaloudet"
"Varsinais-Suomi";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"15201";"Saajat"
"Varsinais-Suomi";"Perustoimeentulotuki";"2019";"2";"2019-02-01";"aiemmin tukea saaneet";"9746";"Saajakotitaloudet"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"277";"Saajat"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"215";"Saajakotitaloudet"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"4185";"Saajat"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"2916";"Saajakotitaloudet"
"Etelä-Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"354";"Saajat"
"Etelä-Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"240";"Saajakotitaloudet"
"Etelä-Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"4544";"Saajat"
"Etelä-Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"3078";"Saajakotitaloudet"
"Etelä-Savo";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"235";"Saajat"
"Etelä-Savo";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"191";"Saajakotitaloudet"
"Etelä-Savo";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"4327";"Saajat"
"Etelä-Savo";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"3029";"Saajakotitaloudet"
"Kainuu";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"131";"Saajat"
"Kainuu";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"109";"Saajakotitaloudet"
"Kainuu";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"1962";"Saajat"
"Kainuu";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"1419";"Saajakotitaloudet"
"Kanta-Häme";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"328";"Saajat"
"Kanta-Häme";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"259";"Saajakotitaloudet"
"Kanta-Häme";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"6352";"Saajat"
"Kanta-Häme";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"4258";"Saajakotitaloudet"
"Keski-Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"113";"Saajat"
"Keski-Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"86";"Saajakotitaloudet"
"Keski-Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"1404";"Saajat"
"Keski-Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"965";"Saajakotitaloudet"
"Keski-Suomi";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"499";"Saajat"
"Keski-Suomi";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"376";"Saajakotitaloudet"
"Keski-Suomi";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"10905";"Saajat"
"Keski-Suomi";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"7525";"Saajakotitaloudet"
"Kymenlaakso";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"285";"Saajat"
"Kymenlaakso";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"235";"Saajakotitaloudet"
"Kymenlaakso";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"6277";"Saajat"
"Kymenlaakso";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"4305";"Saajakotitaloudet"
"Lappi";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"308";"Saajat"
"Lappi";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"243";"Saajakotitaloudet"
"Lappi";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"4752";"Saajat"
"Lappi";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"3158";"Saajakotitaloudet"
"Pirkanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"1110";"Saajat"
"Pirkanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"811";"Saajakotitaloudet"
"Pirkanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"20951";"Saajat"
"Pirkanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"14272";"Saajakotitaloudet"
"Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"302";"Saajat"
"Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"188";"Saajakotitaloudet"
"Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"4502";"Saajat"
"Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"2665";"Saajakotitaloudet"
"Pohjois-Karjala";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"332";"Saajat"
"Pohjois-Karjala";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"257";"Saajakotitaloudet"
"Pohjois-Karjala";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"6012";"Saajat"
"Pohjois-Karjala";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"4129";"Saajakotitaloudet"
"Pohjois-Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"807";"Saajat"
"Pohjois-Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"584";"Saajakotitaloudet"
"Pohjois-Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"11408";"Saajat"
"Pohjois-Pohjanmaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"7706";"Saajakotitaloudet"
"Pohjois-Savo";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"487";"Saajat"
"Pohjois-Savo";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"368";"Saajakotitaloudet"
"Pohjois-Savo";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"9483";"Saajat"
"Pohjois-Savo";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"6476";"Saajakotitaloudet"
"Päijät-Häme";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"444";"Saajat"
"Päijät-Häme";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"367";"Saajakotitaloudet"
"Päijät-Häme";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"9623";"Saajat"
"Päijät-Häme";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"6517";"Saajakotitaloudet"
"Satakunta";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"343";"Saajat"
"Satakunta";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"273";"Saajakotitaloudet"
"Satakunta";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"5433";"Saajat"
"Satakunta";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"3831";"Saajakotitaloudet"
"Uusimaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"3335";"Saajat"
"Uusimaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"2566";"Saajakotitaloudet"
"Uusimaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"82433";"Saajat"
"Uusimaa";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"50591";"Saajakotitaloudet"
"Varsinais-Suomi";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"835";"Saajat"
"Varsinais-Suomi";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"uudet saajat";"636";"Saajakotitaloudet"
"Varsinais-Suomi";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"15818";"Saajat"
"Varsinais-Suomi";"Perustoimeentulotuki";"2019";"3";"2019-03-01";"aiemmin tukea saaneet";"10155";"Saajakotitaloudet"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"4";"2019-04-01";"uudet saajat";"295";"Saajat"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"4";"2019-04-01";"uudet saajat";"225";"Saajakotitaloudet"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"4";"2019-04-01";"aiemmin tukea saaneet";"4359";"Saajat"
"Etelä-Karjala";"Perustoimeentulotuki";"2019";"4";"2019-04-01";"aiemmin tukea saaneet";"3016";"Saajakotitaloudet"
